"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UZPL7IAF","webpage","","","Sobre o Programming Historian em português | Programming Historian","","","","","https://programminghistorian.org/pt/sobre","","","2022-09-01 12:55:34","2022-09-01 12:55:34","2022-08-23 15:20:41","","","","","","","","","","","","","","pt","","","","","","","","<div data-schema-version=""8""><h1 id=""sobre-o-programming-historian-em-português"">Sobre o <em>Programming Historian</em> em português</h1> <p>Lista e resumo aspectos principais e gerais da constituição do projeto (com links específicos para cada ponto).</p> <p></p> <ol> <li> Revisto por pares </li> <li> Código Aberto </li> <li> Acesso Aberto Diamante </li> <li> Prémios </li> <li> Política de Diversidade </li> <li> Financiamento &amp; Propriedade </li> <li> História do Projeto </li> </ol> </div>","","","Informações Gerais; Site","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJY45J92","webpage","","","Equipe | Programming Historian","","","","","https://programminghistorian.org/pt/equipe","","","2022-09-01 12:55:34","2022-09-01 12:55:34","2022-08-23 17:04:42","","","","","","","","","","","","","","pt","","","","","","","","<div data-schema-version=""8""><h1>Equipe do Projeto</h1> <ul> <li> Página apresenta todas as equipes, de todos os idiomas. </li> <li> Apresenta as funções e links para para cada membro. </li> </ul> </div>","","","Equipe; Site","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QDMBWWVF","webpage","","","Pesquisa do projeto | Programming Historian","","","","","https://programminghistorian.org/pt/pesquisa","","","2022-09-01 12:55:34","2022-09-01 12:55:34","2022-08-23 17:05:28","","","","","","","","","","","","","","pt","","","","","","","","<div data-schema-version=""8""><h1 id=""produção-académica-sobre-o-projeto"">Produção académica sobre o projeto</h1> <p>Reúne referências e links para publicações acadêmicas que tratam sobre o projeto assim como publicações de membros que tratem de aspectos digitais.</p> </div>","","","Bibliografia; Equipe; Site","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DYW7ZVZX","webpage","","","Política de privacidade | Programming Historian","","","","","https://programminghistorian.org/pt/politica-de-privacidade","","","2022-09-01 12:55:34","2022-09-01 12:55:34","2022-08-23 17:05:49","","","","","","","","","","","","","","pt","","","","","","","","<div data-schema-version=""8""><h1 id=""política-de-privacidade"">Política de privacidade</h1> <h2>Dados pessoais</h2> <p>Apresenta os dados que são coletados e publicizados de autores, revisores, tradutores e editores.</p> <h2>Google Analytics</h2> <p>Apresenta quais dados são recolhidos e como são utilizados.</p> <h2>Questão ética</h2> <p>Código de ética do projeto favorece a abertura e a política de privacidade está de acordo com essa perspectiva.</p> <p></p> </div>","","","Ética; Política de Privacidade; Site","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FDGU8S8N","webpage","2016","Crymble, Adam","The Programming Historian's Commitment to Diversity | Programming Historian","","","","","https://programminghistorian.org/posts/PH-commitment-to-diversity","","2016","2022-09-01 12:55:34","2022-09-01 12:55:34","2022-08-23 17:01:11","","","","","","","","","","","","","","","","","","","","","","","","","Ética; Site","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
