"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"F8JZ8NAA","webpage","","","Programa de Parceria Institucional | Programming Historian","","","","","https://programminghistorian.org/pt/ppi","","","2022-09-01 12:55:34","2022-09-01 12:55:34","2022-08-23 17:08:50","","","","","","","","","","","","","","","","","","","","","","<div data-schema-version=""8""><h1>Programa de Parceria Institucional</h1> <p>Caracteriza o programa e apresenta as opções de parceria.</p> <p>Lista os benefícios e os dados necessários para a formalização da parceria.</p> </div>","","","Apoio; Institucional; Site","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28CSZBAH","webpage","","","Apoiadores individuais | Programming Historian","","","","","https://programminghistorian.org/pt/doacoes","","","2022-09-01 12:55:34","2022-09-01 12:55:34","2022-08-23 17:09:05","","","","","","","","","","","","","","","","","","","","","","<div data-schema-version=""8""><h1>Apoiadores individuais</h1> <p>Caracteriza a importância das doações e lista as opções de doação individual.</p> </div>","","","Apoio; Site","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANLBXB8H","webpage","","","Nossos Apoiadores | Programming Historian","","","","","https://programminghistorian.org/pt/apoiadores","","","2022-09-01 12:55:34","2022-09-01 12:55:34","2022-08-23 17:09:31","","","","","","","","","","","","","","","","","","","","","","<div data-schema-version=""8""><h1>Nossos Apoiadores</h1> <p>Lista de apoiadores institucionais e individuais</p> </div>","","","Apoio; Site","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
