"Sources","Articles"
"ACM INTERNATIONAL CONFERENCE PROCEEDING SERIES","3"
"DIGITAL HUMANITIES QUARTERLY","3"
"HISTORY OF PSYCHOLOGY","3"
"ACADIENSIS","2"
"BIJDRAGEN EN MEDEDELINGEN BETREFFENDE DE GESCHIEDENIS DER NEDERLANDEN","2"
"FOLIA LINGUISTICA","2"
"HISPANIA","2"
"INTERNATIONAL CONFERENCE ON ELECTRICAL ENGINEERING, COMPUTER SCIENCE AND INFORMATICS (EECSI)","2"
"INTERNATIONAL JOURNAL OF HUMANITIES AND ARTS COMPUTING","2"
"JOURNAL OF VICTORIAN CULTURE","2"
