"Terms","Frequency"
"digital humanities","15"
"digital history","7"
"corpus","3"
"digital methods","3"
"digital pedagogy","3"
"hadith bukhari","3"
"network analysis","3"
"repository","3"
"social media","3"
"topic modeling","3"
