"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VM7ECEQ8","webpage","","","programminghistorian/jekyll: Jekyll-based static site for The Programming Historian","","","","","https://github.com/programminghistorian/jekyll","","","2022-09-01 12:55:34","2022-09-01 12:55:34","2022-08-23 17:47:26","","","","","","","","","","","","","","","","","","","","","","<div data-schema-version=""8""><h1>Repositório do site estático do <em>Programming Historian</em> baseado em Jekyll</h1> </div>","","","GitHub; jekyll","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3DHURJRH","webpage","","","CONTRIBUTING.md at gh-pages · programminghistorian/jekyll","GitHub","","","","https://github.com/programminghistorian/jekyll/blob/gh-pages/.github/CONTRIBUTING.md","Jekyll-based static site for The Programming Historian  - jekyll/CONTRIBUTING.md at gh-pages · programminghistorian/jekyll","","2022-09-01 12:55:34","2022-09-21 13:19:50","2022-08-23 17:49:29","","","","","","","","","","","","","","en","","","","","","","","<div data-schema-version=""8""><h1>Contributing</h1> <p>Documento em markown escrito em inglês com links para documentação sobre contribuições técnicas na Wiki do projeto e também com link para a aba contribuições do site (contribuir com conteúdo).</p> <p>Encontramos também a política anti-assédio do projeto.</p> </div>; <div data-schema-version=""8""><h1>Sugestão</h1> <p>O documento foi atualizado pela última vez em maio de 2017 (Latest commit <a href=""https://github.com/programminghistorian/jekyll/commit/0389b438144dcc6fe8b87360982771fb297ec89a"" rel=""noopener noreferrer nofollow"">0389b43</a> on 6 May 2017) e ainda consta o nome de Amanda Visconti como Ombudsperson. Não constam os nomes dos Ombudsperson da equipe em francês e português.</p> <p>Minha sugestão é incluir todos os nomes atualizados.</p> </div>","","","GitHub; jekyll","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NFN3WWWA","webpage","","","ISSUE_TEMPLATE.md at gh-pages · programminghistorian/jekyll","GitHub","","","","https://github.com/programminghistorian/jekyll/blob/gh-pages/.github/ISSUE_TEMPLATE.md","Jekyll-based static site for The Programming Historian  - jekyll/ISSUE_TEMPLATE.md at gh-pages · programminghistorian/jekyll","","2022-09-01 12:55:34","2022-09-21 13:19:39","2022-08-23 17:50:18","","","","","","","","","","","","","","en","","","","","","","","<div data-schema-version=""8""><h1>Sugestão</h1> <p>O modelo foi atualizado pela última vez em 2016 (Latest commit <a href=""https://github.com/programminghistorian/jekyll/commit/4a8ad0f3c4069221c5ea9af18ce36345588a9669"" rel=""noopener noreferrer nofollow"">4a8ad0f</a> on 27 Jun 2016) e sua sintaxe está fora do padrão atual do GH.</p> <p>O .md atual está assim:</p> <pre>If you are reporting a problem with a lesson, please try to provide us with the following information: &nbsp; - The full title of the lesson - The system you are using (Mac, Linux, Windows) - Version numbers of the relevant software you are using - The exact steps you took that caused the problem &nbsp; If you'd like, you can delete this template text before posting your issue.</pre> <p>Minha sugestão de atualização:</p> <pre>--- name: Basic Template about: Simple issue template title: Name your issue --- ## If you are reporting a problem with a lesson, please try to provide us with the following information: &nbsp; - [ ] The full title of the lesson - [ ] The system you are using (Mac, Linux, Windows) - [ ] Version numbers of the relevant software you are using - [ ] The exact steps you took that caused the problem. ## If you are reporting a technical problem in the Programming Historian site or in the repository, please try to provide us with the following information: - [ ] Link and page title - [ ] A brief description of the problem - [ ] Expected behavior - [ ] Proposed solution (if any) *If you'd like, you can delete this template text before posting your issue.* </pre> <p></p> </div>","","","GitHub; jekyll","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2AQK4R2","webpage","","","PULL_REQUEST_TEMPLATE.md at gh-pages · programminghistorian/jekyll","GitHub","","","","https://github.com/programminghistorian/jekyll/blob/gh-pages/.github/PULL_REQUEST_TEMPLATE.md","Jekyll-based static site for The Programming Historian  - jekyll/PULL_REQUEST_TEMPLATE.md at gh-pages · programminghistorian/jekyll","","2022-09-01 12:55:34","2022-09-21 13:19:29","2022-08-23 17:51:33","","","","","","","","","","","","","","en","","","","","","","","<div data-schema-version=""8""><h1>Template de PR</h1> <p>Atualizado em 2021 (Latest commit <a href=""https://github.com/programminghistorian/jekyll/commit/0daeefc7e98b3f7a9ab355371c5387dcde13559b"" rel=""noopener noreferrer nofollow"">0daeefc</a> on 4 Feb 2021) e inclui check list e links úteis</p> </div>","","","GitHub; jekyll","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MKWMV36L","webpage","","","build.yml at gh-pages · programminghistorian/jekyll","","","","","https://github.com/programminghistorian/jekyll/blob/gh-pages/.github/workflows/build.yml","","","2022-09-01 12:55:34","2022-09-21 13:18:57","2022-08-23 17:53:02","","","","","","","","","","","","","","","","","","","","","","<div data-schema-version=""8""><h2>Workflow para GitHub Actions</h2> <p>O workflow <code>build_programming_historian</code> &nbsp;está bem documentado e executa testes importantes para evitar erros.</p> <p>Para mais informações ver: Lincoln, Matthew, Jennifer Isasi, Sarah Melton, e François Dominic Laramée. “Relocating Complexity: The Programming Historian and Multilingual Static Site Generation.” <em>DHQ: Digital Humanities Quarterly</em> 16, n<sup>o</sup> 2 (2022).</p> <p></p> </div>","","","GitHub; jekyll","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QG75Q2BB","webpage","","","Projects · programminghistorian/jekyll","","","","","https://github.com/programminghistorian/jekyll/projects","","","2022-09-01 12:55:34","2022-09-21 13:20:48","2022-08-23 18:03:17","","","","","","","","","","","","","","","","","","","","","","<div data-schema-version=""8""><h1>Projetos vinculados ao repositório</h1> <p>Atualmente existem seis projetos clássicos abertos vinculados ao repositório. São eles:</p> <ul> <li> Lesson Maintenance: This Project Board is designed to document Lesson Maintenance tasks and track annual spending. </li> <li> Copyedited Lessons: For keeping track of which lessons have been copyedited </li> <li> FR PH Submission &amp; Publication Tracking: A board for managing the FR PH editorial workflow </li> <li> ES PH Submission &amp; Publication Tracking: A board for managing the editorial workflow of PH Spanish Team </li> <li> EN PH Submission &amp; Publication Tracking: A board for managing the EN PH editorial workflow. </li> <li> Ticket Scheduling: Board for tracking which tickets are currently in progress, backlogged, scheduled for a specific date, etc. </li> </ul> <p></p> </div>; <div data-schema-version=""8""><h1>Sugestão</h1> <h2>Criação de projeto kanba-style para a equipe em português.</h2> <p>Com esse objetivo, criei a Issue #2670 Proposition to create kanban-style project for managing portuguese editorial workflow.</p> <blockquote> <p>Hello @programminghistorian/portuguese-team</p> <p>I would like to suggest the creation of a kanban-style project titled **PT PH Submissions &amp; Publication Track** following the model of those that already exist for the [English](https://github.com/programminghistorian/jekyll/projects/3), [French](https://github.com/programminghistorian/jekyll/projects/5) and [Spanish](https://github.com/programminghistorian/jekyll/projects/4) teams.</p> <p>The aim is to maintain an organized board of the entire editorial workflow of the Portuguese team. I believe it'll help a lot in organizing, visualizing and managing our workflow.</p> <p>The column model existing in the other projects can serve as a basis for the Portuguese version.</p> <p>What do you think? It is necessary?</p> <p>Perhaps the @programminghistorian/french-team and @programminghistorian/spanish-team can give us their thoughts on the advantages/disadvantages of using these boards in workflow management.</p> <p>If the portuguese team finds it useful and possible to be implemented, I can help in the organization of the board, columns, etc, as I have already used this structure in other researches.</p> </blockquote> <p>Essa issue gerou um debate sobre a própria criação de uma nova forma de lidar com os projetos e organizar o workflow para visualização e gerenciamento.</p> <p>Tal debate motivou uma reunião ente Anisa Hawes (technical team) e eu onde discutimos a criação e configuração de um único Projeto no github englobando todos os idiomas.</p> <p>O novo projeto está em fase de testes e aprimoramento e pode ser acessado <a href=""https://github.com/orgs/programminghistorian/projects/1/views/1"" rel=""noopener noreferrer nofollow"">nesse link</a>. Com os recursos do novo projeto, podemos vincular issues e PR de variados repositórios, criar visualizações específicas para cada idioma e utilizar filtros com todas os elementos presentes no github, também é possível criar visualizações em gráficos.</p> </div>","","","GitHub; jekyll","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NZSG7NX9","webpage","","","Labels · programminghistorian/jekyll","","","","","https://github.com/programminghistorian/jekyll/labels","","","2022-09-01 12:55:34","2022-09-01 12:55:34","2022-08-23 18:03:32","","","","","","","","","","","","","","","","","","","","","","<div data-schema-version=""8""><h1>Labels</h1> <p>Atualmente o repositório conta 17 etiquetas, entretanto apenas 10 possuem alguma descrição.</p> <p></p> </div>","","","GitHub; jekyll","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YTRL3FCT","webpage","","","Milestones - programminghistorian/jekyll","","","","","https://github.com/programminghistorian/jekyll/milestones","","","2022-09-01 12:55:34","2022-09-01 12:55:34","2022-08-23 18:03:45","","","","","","","","","","","","","","","","","","","","","","<div data-schema-version=""8""><h1>Milestones</h1> <p>Poucos Milestones ativos.</p> </div>","","","GitHub; jekyll","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XX995A7B","webpage","","","CODE_OF_CONDUCT.md at gh-pages · programminghistorian/jekyll","","","","","https://github.com/programminghistorian/jekyll/blob/gh-pages/CODE_OF_CONDUCT.md","","","2022-09-21 13:16:58","2022-09-21 13:16:58","2022-09-21 13:12:02","","","","","","","","","","","","","","","","","","","","","","<div data-schema-version=""8""><h1>Código de conduta</h1> <p>Essa página contém um arquivo markdown que reúne um conjunto de documentos nos 4 idiomas sobre conduta para membros, autores, revisores e tradutores.</p> </div>","","","GitHub; jekyll","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
